,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
403,NSD,MODEL_A,layer2-0,V2v,subj04,0.1443153323300019,0.2373561547005023,0.33833021,0.05231209,0.08857095,0.00193473,0.22305733,0.3516075
404,NSD,MODEL_A,layer2-0,V2v,subj05,0.1487883810371661,0.321657884923332,0.43989003,0.06676785,0.20705471,0.00443727,0.31844599,0.50698872
405,NSD,MODEL_A,layer2-0,V2v,subj06,0.1304034295686716,0.247454923586798,0.31682152,0.05033875,0.07555466,0.0018052,0.18086402,0.32717853
406,NSD,MODEL_A,layer2-0,V2v,subj07,0.129996633370494,0.2101638972272807,0.31739608,0.05376206,0.08059037,0.00218262,0.16794,0.2795145
407,NSD,MODEL_A,layer2-0,V2v,subj08,0.1276820988154065,0.2425667360770318,0.32578063,0.05562961,0.07932468,0.00210509,0.16787093,0.35029089
408,NSD,MODEL_A,layer2-0,V3v,subj01,0.1357858065045887,0.1957322814453961,0.39799905,0.06375553,0.15423052,0.00369365,0.34560368,0.36220279
409,NSD,MODEL_A,layer2-0,V3v,subj02,0.1035781027975098,0.198895333852414,0.30078005,0.04498492,0.05905496,0.00124906,0.17504529,0.29877225
410,NSD,MODEL_A,layer2-0,V3v,subj03,0.0809244387062518,0.1369868480277978,0.26034299,0.04521998,0.05775997,0.0016493,0.11322922,0.18089598
411,NSD,MODEL_A,layer2-0,V3v,subj04,0.0913779092095943,0.1227358496813098,0.25015575,0.04323865,0.04662003,0.00131324,0.13762053,0.16813369
412,NSD,MODEL_A,layer2-0,V3v,subj05,0.102680962569531,0.2063479116804892,0.28477888,0.04739681,0.07290874,0.00189602,0.13316082,0.28538503
413,NSD,MODEL_A,layer2-0,V3v,subj06,0.0920506224584005,0.1526242834083006,0.25521263,0.0425428,0.04941975,0.00130208,0.12242512,0.19126409
414,NSD,MODEL_A,layer2-0,V3v,subj07,0.088796032996458,0.1184201683049454,0.27619649,0.04697057,0.0579613,0.00158609,0.13968073,0.17599015
415,NSD,MODEL_A,layer2-0,V3v,subj08,0.0813667627822459,0.1543780690981601,0.27302006,0.05069564,0.06400402,0.00206857,0.11970317,0.24027915
416,NSD,MODEL_A,layer2-0,hV4,subj01,0.1329649300985427,0.1761350425682861,0.33960061,0.05892132,0.11567408,0.00325029,0.26475323,0.29154379
417,NSD,MODEL_A,layer2-0,hV4,subj02,0.0903331100992581,0.1681456388926088,0.30810804,0.04567038,0.07250505,0.00152167,0.14817424,0.25178971
418,NSD,MODEL_A,layer2-0,hV4,subj03,0.0808740406959762,0.1227039720814019,0.25226802,0.04511612,0.05202662,0.00159581,0.11194137,0.17075288
419,NSD,MODEL_A,layer2-0,hV4,subj04,0.0688848362138912,0.0836233076095255,0.18642728,0.03613421,0.02998284,0.00108109,0.0943515,0.09925968
420,NSD,MODEL_A,layer2-0,hV4,subj05,0.0993059710546615,0.1525645850392661,0.22181576,0.03777077,0.04437229,0.00124607,0.10611719,0.20987016
421,NSD,MODEL_A,layer2-0,hV4,subj06,0.0763167669040817,0.0815315177598321,0.19195659,0.03610542,0.03227377,0.00108972,0.09474394,0.11299677
422,NSD,MODEL_A,layer2-0,hV4,subj07,0.0793003433045943,0.1052755878646804,0.23912219,0.04406618,0.04913796,0.00156441,0.10287346,0.14510192
423,NSD,MODEL_A,layer2-0,hV4,subj08,0.0970863924194381,0.1634946855098883,0.27235302,0.05050489,0.06377981,0.0020568,0.11913703,0.25196189
424,NSD,MODEL_A,layer2-0,FFA-1,subj01,0.0694102522427352,0.0594447638109277,0.16533911,0.03001429,0.02246484,0.0007144,0.0865288,0.1067337
425,NSD,MODEL_A,layer2-0,FFA-1,subj02,0.0639060374618668,0.067052899346698,0.22006237,0.03590523,0.0427341,0.00107445,0.0921545,0.1201694
426,NSD,MODEL_A,layer2-0,FFA-1,subj03,0.0611981192499021,0.0538865051535157,0.18439367,0.03230156,0.02465077,0.00075717,0.07731838,0.10637162
427,NSD,MODEL_A,layer2-0,FFA-1,subj04,0.0537844533772194,0.0462591292134635,0.1727761,0.03076401,0.02059237,0.00065279,0.0810852,0.09289626
428,NSD,MODEL_A,layer2-0,FFA-1,subj05,0.0740131088969045,0.0614624854465091,0.17183942,0.02903047,0.02839235,0.00075647,0.08254706,0.083426
429,NSD,MODEL_A,layer2-0,FFA-1,subj06,0.0427514637900626,0.0272306053810993,0.16547242,0.02702934,0.02187147,0.00055057,0.06887618,0.0956084
430,NSD,MODEL_A,layer2-0,FFA-1,subj07,0.0488918647628368,0.0340526344622872,0.17776831,0.03322201,0.02788692,0.00095406,0.08500127,0.08812084
431,NSD,MODEL_A,layer2-0,FFA-1,subj08,0.0652216228630732,0.0617242747278509,0.18193676,0.03536112,0.02415811,0.000931,0.10449348,0.09914036
432,NSD,MODEL_A,layer2-0,VWFA-1,subj01,0.0597080261345308,0.0521296711998613,0.2145579,0.0380733,0.04716654,0.00140435,0.1613693,0.12170554
433,NSD,MODEL_A,layer2-0,VWFA-1,subj02,0.0549894201776629,0.0550283902619744,0.17558854,0.02937322,0.03002458,0.0008,0.09289001,0.08717683
434,NSD,MODEL_A,layer2-0,VWFA-1,subj03,0.0579051412031027,0.0413362473684266,0.11111363,0.02131779,0.01354573,0.00047363,0.06228795,0.05437652
435,NSD,MODEL_A,layer2-0,VWFA-1,subj04,0.0473191034192658,0.0239861481559926,0.12692009,0.02557083,0.0137005,0.00053276,0.07889924,0.04348432
436,NSD,MODEL_A,layer2-0,VWFA-1,subj05,0.0798998244616867,0.0621036807908162,0.18485755,0.0302232,0.02961852,0.00073893,0.14319206,0.09738575
437,NSD,MODEL_A,layer2-0,VWFA-1,subj06,0.051023866820055,0.0291766106043905,0.09591803,0.01757259,0.00891356,0.00029421,0.07984378,0.02993172
438,NSD,MODEL_A,layer2-0,VWFA-1,subj07,0.0846034471399022,0.0772327876121175,0.20603636,0.03675104,0.04075105,0.00120391,0.16207112,0.14336668
439,NSD,MODEL_A,layer2-0,VWFA-1,subj08,0.0378742432384844,0.0245333946492813,0.10730357,0.02238344,0.01021554,0.00043098,0.06745405,0.03521834
440,NSD,MODEL_A,layer2-0,PPA,subj01,0.1122452948012756,0.0628356564962012,0.30904022,0.05472121,0.09217822,0.00272306,0.24678632,0.28066443
441,NSD,MODEL_A,layer2-0,PPA,subj02,0.1071819178591398,0.0689085339212948,0.36983344,0.06012668,0.12531632,0.00310724,0.28827004,0.36038881
442,NSD,MODEL_A,layer2-0,PPA,subj03,0.0882634975451133,0.056601997532021,0.28777176,0.05074053,0.07676931,0.00223662,0.19820524,0.25305747
443,NSD,MODEL_A,layer2-0,PPA,subj04,0.0598534773407427,0.0538081060280252,0.21588981,0.0382168,0.02311267,0.00070881,0.09739115,0.163108
444,NSD,MODEL_A,layer2-0,PPA,subj05,0.1051233877873993,0.0762489526226727,0.35142774,0.05506898,0.11023995,0.00256069,0.23780267,0.28449896
445,NSD,MODEL_A,layer2-0,PPA,subj06,0.09075749037717,0.0535211488470374,0.2594777,0.04363583,0.06476195,0.00168274,0.21054475,0.22472279
446,NSD,MODEL_A,layer2-0,PPA,subj07,0.0981754683242693,0.0462732409737945,0.17663035,0.03287372,0.02389802,0.00078684,0.12053106,0.0780764
447,NSD,MODEL_A,layer2-0,PPA,subj08,0.0845635136416802,0.0569062065267945,0.20475826,0.03786658,0.02672299,0.00088889,0.1137138,0.11914454
448,NSD,MODEL_A,layer2-0,OPA,subj01,0.1250162576022908,0.0685210959733565,0.24443313,0.04330734,0.05513728,0.00162719,0.18782263,0.12862049
449,NSD,MODEL_A,layer2-0,OPA,subj02,0.102694692185133,0.0648014348268411,0.2851175,0.04723361,0.06915024,0.00181209,0.18962908,0.16396618
450,NSD,MODEL_A,layer2-0,OPA,subj03,0.0713651161166916,0.0394213030543387,0.22679426,0.04131674,0.04736283,0.00149083,0.14054953,0.11854061
451,NSD,MODEL_A,layer2-0,OPA,subj04,0.059014304466584,0.0410697241285331,0.22541077,0.04400952,0.04671368,0.00169023,0.1413284,0.14187031
452,NSD,MODEL_A,layer2-0,OPA,subj05,0.0915221552562589,0.0683022893174718,0.32071019,0.04966988,0.09123456,0.00207565,0.20704708,0.22082144
453,NSD,MODEL_A,layer2-0,OPA,subj06,0.0714997450734613,0.0422535496748921,0.20834939,0.03769252,0.03942771,0.00122831,0.13584268,0.09742282
454,NSD,MODEL_A,layer2-0,OPA,subj07,0.0939520184685763,0.05573228949346,0.25718278,0.04805268,0.05903245,0.00196493,0.1907547,0.14143107
455,NSD,MODEL_A,layer2-0,OPA,subj08,0.0728576985728896,0.0393104818908872,0.20489351,0.03993254,0.04328332,0.00152712,0.12912608,0.10261269
456,NSD,MODEL_A,layer2-0,EBA,subj01,0.0677947425586889,0.0576847566242375,0.22532199,0.03511519,0.04149164,0.00096496,0.12854598,0.14696044
457,NSD,MODEL_A,layer2-0,EBA,subj02,0.0667586455057424,0.0641041308249554,0.24232114,0.03812926,0.05009817,0.00118366,0.13637775,0.14363002
458,NSD,MODEL_A,layer2-0,EBA,subj03,0.0740166727815741,0.0564062304825945,0.1978523,0.03278713,0.03389196,0.00088763,0.12638823,0.113371
459,NSD,MODEL_A,layer2-0,EBA,subj04,0.0493937975811228,0.043292874846646,0.19022153,0.03257316,0.02923091,0.00081004,0.1125337,0.11616301
460,NSD,MODEL_A,layer2-0,EBA,subj05,0.0712645990443436,0.0692824267505147,0.22153755,0.03346636,0.04278489,0.00092051,0.13860952,0.13177249
461,NSD,MODEL_A,layer2-0,EBA,subj06,0.0538585255135765,0.0387341286147371,0.16249526,0.02683658,0.02241503,0.00057685,0.09426982,0.08500406
462,NSD,MODEL_A,layer2-0,EBA,subj07,0.0656820570509513,0.0601908542103828,0.20237278,0.0355196,0.03630389,0.00104649,0.1454246,0.13483758
463,NSD,MODEL_A,layer2-0,EBA,subj08,0.0546563431363103,0.0439201507775897,0.15757787,0.03051875,0.02350484,0.00082574,0.10522076,0.07941122
464,NSD,MODEL_A,layer3-0,V1v,subj01,0.2732852382620443,0.3499802700031617,0.49057468,0.07188698,0.23092829,0.00462058,0.47073303,0.54663286
465,NSD,MODEL_A,layer3-0,V1v,subj02,0.2459262287157374,0.3511740842285776,0.50665554,0.07375979,0.2447632,0.00479073,0.45826308,0.58891002
466,NSD,MODEL_A,layer3-0,V1v,subj03,0.1952163543174035,0.2776263201045477,0.45821422,0.07170808,0.20272876,0.00461632,0.32379927,0.44146684
467,NSD,MODEL_A,layer3-0,V1v,subj04,0.2282910817770374,0.3045513311086661,0.45194906,0.0711671,0.20795746,0.00468266,0.45395546,0.48020585
468,NSD,MODEL_A,layer3-0,V1v,subj05,0.1971382168394687,0.3606620190873205,0.51785336,0.0780806,0.26182521,0.00566445,0.36231797,0.58378892
469,NSD,MODEL_A,layer3-0,V1v,subj06,0.2305973702914538,0.302177744582756,0.44297746,0.06835593,0.20391512,0.00447697,0.40492167,0.46804709
470,NSD,MODEL_A,layer3-0,V1v,subj07,0.198592834801229,0.2472737928025779,0.42114267,0.07427554,0.18496359,0.00526126,0.39339168,0.40256589
471,NSD,MODEL_A,layer3-0,V1v,subj08,0.2112287602421819,0.2930185240010298,0.38358986,0.06835666,0.1593909,0.00453742,0.3533434,0.46609084
472,NSD,MODEL_A,layer3-0,V2v,subj01,0.2276761007708662,0.2911821418672405,0.43559767,0.06669315,0.17113823,0.00371434,0.36355499,0.46931715
473,NSD,MODEL_A,layer3-0,V2v,subj02,0.212050369134598,0.2903138734137323,0.4450854,0.0685956,0.19915991,0.00426319,0.44692838,0.51215487
474,NSD,MODEL_A,layer3-0,V2v,subj03,0.1801742030375742,0.2584833342342814,0.41092572,0.06776492,0.16680172,0.00414014,0.33009691,0.42383768
475,NSD,MODEL_A,layer3-0,V2v,subj04,0.1943247338649253,0.2718997074379107,0.42321166,0.06586002,0.18723693,0.0041296,0.37225734,0.45757441
476,NSD,MODEL_A,layer3-0,V2v,subj05,0.210507347949011,0.3426927342111184,0.47120811,0.07156057,0.22038042,0.00475654,0.36159004,0.55147473
477,NSD,MODEL_A,layer3-0,V2v,subj06,0.1855480068291514,0.2715363137367559,0.40844938,0.06518702,0.16007182,0.00378091,0.34349817,0.4185725
478,NSD,MODEL_A,layer3-0,V2v,subj07,0.1872870139797707,0.2313733303770851,0.42670615,0.07303809,0.18331124,0.00500126,0.36315903,0.37700925
479,NSD,MODEL_A,layer3-0,V2v,subj08,0.1810967779135468,0.2613351401144013,0.3945027,0.06753224,0.1582081,0.00421399,0.33584461,0.42272107
480,NSD,MODEL_A,layer3-0,V3v,subj01,0.2008426607258474,0.2371362615683317,0.43395401,0.06958881,0.16760456,0.00403711,0.40297612,0.41505233
481,NSD,MODEL_A,layer3-0,V3v,subj02,0.1823872089055934,0.2503636155460544,0.45487232,0.07045077,0.19545103,0.00430745,0.39430664,0.48559238
482,NSD,MODEL_A,layer3-0,V3v,subj03,0.1175542021552509,0.1514673283574022,0.35485455,0.06173416,0.12577641,0.00355967,0.2698662,0.27357714
483,NSD,MODEL_A,layer3-0,V3v,subj04,0.1376419233817465,0.1555129421927157,0.34527159,0.06028358,0.1175677,0.00334479,0.30086056,0.28175386
484,NSD,MODEL_A,layer3-0,V3v,subj05,0.1541413271543526,0.2350632252145935,0.38442749,0.06459681,0.14913178,0.00391029,0.25971299,0.4051876
485,NSD,MODEL_A,layer3-0,V3v,subj06,0.1431640205282517,0.1898509659595912,0.36051315,0.06022404,0.12107252,0.00315995,0.28626787,0.33017946
486,NSD,MODEL_A,layer3-0,V3v,subj07,0.1347205237297655,0.1441202542258535,0.39867115,0.06878782,0.15985002,0.00441463,0.30595864,0.31541135
487,NSD,MODEL_A,layer3-0,V3v,subj08,0.1172173705036654,0.1726984393368235,0.3360045,0.06223904,0.11780106,0.00373627,0.21614775,0.30703944
488,NSD,MODEL_A,layer3-0,hV4,subj01,0.1908109803318312,0.2081039737281814,0.37631741,0.06535856,0.1310141,0.00370758,0.29842813,0.33341063
489,NSD,MODEL_A,layer3-0,hV4,subj02,0.1643370253509778,0.2126766188907889,0.46526972,0.06983211,0.19979288,0.00424208,0.37760691,0.43460161
490,NSD,MODEL_A,layer3-0,hV4,subj03,0.1136523886753077,0.1374937195980418,0.33320063,0.05988539,0.11322326,0.00344523,0.2753242,0.24326814
491,NSD,MODEL_A,layer3-0,hV4,subj04,0.11512022528974,0.1077086297497791,0.27741864,0.05389099,0.07639801,0.00270107,0.23629661,0.18059597
492,NSD,MODEL_A,layer3-0,hV4,subj05,0.1487079752455259,0.1778017464577364,0.34615544,0.05918972,0.11722445,0.00325522,0.26923791,0.29422247
493,NSD,MODEL_A,layer3-0,hV4,subj06,0.1169375877461631,0.0970460206348971,0.27062652,0.05124661,0.07556463,0.00252227,0.19343087,0.15792641
494,NSD,MODEL_A,layer3-0,hV4,subj07,0.1234859346069017,0.1263381103609281,0.34168845,0.06328056,0.11938897,0.00379427,0.25516121,0.25369451
495,NSD,MODEL_A,layer3-0,hV4,subj08,0.1357521448644326,0.1828596598089317,0.33610883,0.06239864,0.11666821,0.00370049,0.22488416,0.3232416
496,NSD,MODEL_A,layer3-0,FFA-1,subj01,0.1033949539519851,0.0950923451096327,0.32720703,0.06007316,0.10448714,0.00329925,0.30906641,0.33903519
497,NSD,MODEL_A,layer3-0,FFA-1,subj02,0.1090707565800895,0.1083769295405614,0.37050701,0.06040842,0.14109492,0.00348011,0.37004092,0.35215871
498,NSD,MODEL_A,layer3-0,FFA-1,subj03,0.0871713295381556,0.0861590515789747,0.29863447,0.05239748,0.08982901,0.00255417,0.27682793,0.28977444
499,NSD,MODEL_A,layer3-0,FFA-1,subj04,0.0898933405321349,0.0793808374568136,0.29429188,0.05207476,0.08373719,0.00244294,0.26287743,0.27098342
500,NSD,MODEL_A,layer3-0,FFA-1,subj05,0.1149145405327838,0.1000907742554838,0.33301629,0.05690822,0.11184979,0.00303409,0.30411333,0.32752398
501,NSD,MODEL_A,layer3-0,FFA-1,subj06,0.0651737266195005,0.0567406086496171,0.3011893,0.04938061,0.09432043,0.00229626,0.24241938,0.34567224
502,NSD,MODEL_A,layer3-0,FFA-1,subj07,0.0925773014116567,0.0643250813646981,0.30643233,0.05686953,0.10121662,0.00317148,0.33822901,0.2672161
503,NSD,MODEL_A,layer3-0,FFA-1,subj08,0.0917237334349768,0.0876678792852756,0.26199168,0.05044321,0.07176956,0.00249403,0.26191248,0.20597436
504,NSD,MODEL_A,layer3-0,VWFA-1,subj01,0.106826028193943,0.0728709208320601,0.25566778,0.04544726,0.06413644,0.00190069,0.23937321,0.15254275
505,NSD,MODEL_A,layer3-0,VWFA-1,subj02,0.0867381089311249,0.0918505676326144,0.33274693,0.05566038,0.11464773,0.00297363,0.31720479,0.29674011
506,NSD,MODEL_A,layer3-0,VWFA-1,subj03,0.0782050326735379,0.0527946889143687,0.19431077,0.03712497,0.04162215,0.00139936,0.14796824,0.11033906
507,NSD,MODEL_A,layer3-0,VWFA-1,subj04,0.0723017507017257,0.0325133478648573,0.21118018,0.0424493,0.04617611,0.00173521,0.22764416,0.10170133
508,NSD,MODEL_A,layer3-0,VWFA-1,subj05,0.1256622209520664,0.0935873976212011,0.31905216,0.05311923,0.10251228,0.0026574,0.37400448,0.24980417
509,NSD,MODEL_A,layer3-0,VWFA-1,subj06,0.0917335419349203,0.0510397774602173,0.20951509,0.038268,0.04431827,0.00137947,0.25117675,0.13157665
510,NSD,MODEL_A,layer3-0,VWFA-1,subj07,0.1112492163334307,0.1015829165683896,0.34029852,0.06124156,0.12176345,0.00359732,0.47276487,0.35118198
511,NSD,MODEL_A,layer3-0,VWFA-1,subj08,0.0599501272005192,0.0313756785021962,0.16692093,0.03514853,0.030381,0.00123561,0.15053942,0.06818844
512,NSD,MODEL_A,layer3-0,PPA,subj01,0.1558560628100913,0.1214707184285816,0.36823626,0.06531264,0.13109124,0.00389444,0.31267135,0.39262369
513,NSD,MODEL_A,layer3-0,PPA,subj02,0.1715942993074569,0.1478094617575951,0.43634182,0.07119064,0.1765355,0.00441016,0.39601996,0.49421292
514,NSD,MODEL_A,layer3-0,PPA,subj03,0.1331848998757098,0.1176877296437617,0.34303772,0.06041683,0.10330501,0.00299862,0.30325278,0.36442332
515,NSD,MODEL_A,layer3-0,PPA,subj04,0.1162065556942951,0.1132363286299589,0.3491061,0.06279349,0.11005431,0.00331785,0.32499417,0.38468475
516,NSD,MODEL_A,layer3-0,PPA,subj05,0.1641135546011,0.1454678906371277,0.41900034,0.06542089,0.13622438,0.0031679,0.34214145,0.44468657
517,NSD,MODEL_A,layer3-0,PPA,subj06,0.1419088063730239,0.1099520835360326,0.31060305,0.05246852,0.08942021,0.00235406,0.31037058,0.3249038
518,NSD,MODEL_A,layer3-0,PPA,subj07,0.1501333899601205,0.1026431804935333,0.34811394,0.06630118,0.11437428,0.00387424,0.31625483,0.32437072
519,NSD,MODEL_A,layer3-0,PPA,subj08,0.1247577896553265,0.1030494871382901,0.31147546,0.05821288,0.09681358,0.0031082,0.28609661,0.28979802
520,NSD,MODEL_A,layer3-0,OPA,subj01,0.178782612176252,0.1069918196744891,0.28132385,0.04969177,0.06795472,0.00200406,0.27159425,0.21000034
521,NSD,MODEL_A,layer3-0,OPA,subj02,0.1744763066780288,0.1148126508964083,0.33022381,0.05468898,0.08956593,0.00235034,0.26420715,0.24943551
522,NSD,MODEL_A,layer3-0,OPA,subj03,0.1081178216027741,0.074681206657811,0.27308387,0.04975563,0.06397917,0.00202575,0.21646442,0.19769625
523,NSD,MODEL_A,layer3-0,OPA,subj04,0.1047453977150141,0.0770888336186564,0.27120662,0.05296889,0.06395542,0.00232917,0.23146831,0.20542059
524,NSD,MODEL_A,layer3-0,OPA,subj05,0.1568905351128725,0.1290284558226719,0.38389536,0.05941648,0.12327093,0.00280912,0.3227794,0.3497078
525,NSD,MODEL_A,layer3-0,OPA,subj06,0.1154337316100393,0.0755928227485426,0.24489239,0.04430386,0.05289132,0.00163731,0.20006554,0.14610512
526,NSD,MODEL_A,layer3-0,OPA,subj07,0.1510976820464817,0.0992912517309265,0.3064713,0.05724907,0.08172799,0.00271593,0.25310467,0.22613467
527,NSD,MODEL_A,layer3-0,OPA,subj08,0.0991965464362513,0.0598086504490184,0.23134387,0.04493859,0.05017925,0.00177337,0.17993044,0.13065207
528,NSD,MODEL_A,layer3-0,EBA,subj01,0.1126824776576536,0.0909231186642963,0.19447283,0.02987082,0.00821711,0.00019817,0.17524723,0.09925256
529,NSD,MODEL_A,layer3-0,EBA,subj02,0.1149291515048025,0.1076540132701663,0.27964153,0.04336773,0.05928402,0.00134366,0.22091764,0.23951392
530,NSD,MODEL_A,layer3-0,EBA,subj03,0.1154340396822647,0.0911499806466468,0.24007353,0.03963144,0.04166032,0.00108473,0.2118011,0.17590336
531,NSD,MODEL_A,layer3-0,EBA,subj04,0.0887537941663247,0.0722568871021262,0.22678813,0.03838644,0.03600228,0.00097341,0.19420307,0.18687653
532,NSD,MODEL_A,layer3-0,EBA,subj05,0.1229498957563493,0.1093617295978821,0.3723155,0.05630042,0.14431613,0.00304234,0.41218854,0.41429664
533,NSD,MODEL_A,layer3-0,EBA,subj06,0.0928348798051543,0.0643757890615017,0.2830008,0.04677796,0.08115581,0.00202891,0.29404828,0.29042373
534,NSD,MODEL_A,layer3-0,EBA,subj07,0.1069698694648105,0.0845321190437426,0.14891147,0.0261482,0.00607211,0.00018958,0.16298655,0.06034805
535,NSD,MODEL_A,layer3-0,EBA,subj08,0.0805172571827819,0.0625432502999236,0.19284154,0.03723283,0.0306888,0.00107372,0.16503648,0.12656334
536,NSD,MODEL_A,layer3-5,V1v,subj01,0.2239638157846844,0.2940435018872551,0.5009346,0.07354807,0.22478354,0.0045221,0.45333466,0.54960069
537,NSD,MODEL_A,layer3-5,V1v,subj02,0.1994570910438634,0.28921867511164,0.51209111,0.07460191,0.24216014,0.00475935,0.50657831,0.59640591
538,NSD,MODEL_A,layer3-5,V1v,subj03,0.159645209941709,0.2157109491729225,0.46387371,0.07257519,0.19694448,0.0045187,0.33276028,0.44264557
539,NSD,MODEL_A,layer3-5,V1v,subj04,0.2057242933316892,0.2513068502408609,0.39789563,0.06234888,0.0803194,0.00178385,0.26549745,0.42886737
540,NSD,MODEL_A,layer3-5,V1v,subj05,0.1551209775210375,0.2721537322422737,0.51866842,0.07815414,0.26375553,0.00570326,0.35540076,0.58014111
541,NSD,MODEL_A,layer3-5,V1v,subj06,0.1825813094596315,0.2383407892566,0.37686476,0.05760794,0.07758734,0.00167551,0.25597155,0.40682642
542,NSD,MODEL_A,layer3-5,V1v,subj07,0.1736736249954776,0.2126190519381091,0.42843281,0.0754534,0.18431511,0.00522448,0.38191714,0.41921439
543,NSD,MODEL_A,layer3-5,V1v,subj08,0.1671727253813079,0.2293805069555372,0.337466,0.05976221,0.06479546,0.00185777,0.21124653,0.40846127
544,NSD,MODEL_A,layer3-5,V2v,subj01,0.1975001440871024,0.2702972045560442,0.45586855,0.06999728,0.17284821,0.0037755,0.40249053,0.50181277
545,NSD,MODEL_A,layer3-5,V2v,subj02,0.18968537119402,0.2767839561973795,0.4622581,0.07136614,0.20405018,0.00439089,0.47880488,0.54680226
546,NSD,MODEL_A,layer3-5,V2v,subj03,0.1588937731049035,0.2205670118018091,0.42109916,0.0695592,0.17048365,0.0042328,0.34821931,0.43400136
547,NSD,MODEL_A,layer3-5,V2v,subj04,0.1828146483547204,0.2467467609635075,0.38077933,0.05879297,0.07226411,0.00156992,0.24593084,0.42967523
548,NSD,MODEL_A,layer3-5,V2v,subj05,0.1609778927014699,0.2813418746704152,0.48601134,0.07391823,0.22756594,0.00491957,0.36063557,0.57362243
549,NSD,MODEL_A,layer3-5,V2v,subj06,0.1557089737593838,0.2341253270747541,0.41614443,0.06651092,0.16515346,0.0039109,0.3262125,0.42510147
550,NSD,MODEL_A,layer3-5,V2v,subj07,0.1653196639727151,0.2104077354254274,0.44591738,0.07617958,0.18878662,0.00511983,0.39576617,0.41115534
551,NSD,MODEL_A,layer3-5,V2v,subj08,0.156366507484425,0.2200254356821661,0.35349348,0.06005618,0.06221426,0.00163622,0.20217091,0.38553007
552,NSD,MODEL_A,layer3-5,V3v,subj01,0.1941431952088028,0.2307219291571233,0.45207298,0.07262358,0.17484107,0.00423072,0.41172041,0.4443747
553,NSD,MODEL_A,layer3-5,V3v,subj02,0.1583682103992331,0.2444568568207376,0.46663515,0.07243906,0.20515914,0.0045416,0.4326013,0.50293464
554,NSD,MODEL_A,layer3-5,V3v,subj03,0.1112096366561157,0.1321651951014338,0.29262808,0.05059789,0.04776234,0.00135061,0.13670806,0.21205682
555,NSD,MODEL_A,layer3-5,V3v,subj04,0.1297472689518437,0.1512488360419362,0.30102131,0.05226554,0.04601154,0.0013047,0.17018815,0.23479228
556,NSD,MODEL_A,layer3-5,V3v,subj05,0.1284790168141892,0.2064476738825389,0.40095854,0.06744983,0.1622929,0.00427031,0.30187477,0.42791443
557,NSD,MODEL_A,layer3-5,V3v,subj06,0.1360677361248738,0.1847411601335875,0.37240374,0.06224246,0.12992699,0.00338604,0.29629885,0.34749341
558,NSD,MODEL_A,layer3-5,V3v,subj07,0.1314755747569943,0.1441798942832876,0.33170703,0.056138,0.05646495,0.00154378,0.18543117,0.26223282
559,NSD,MODEL_A,layer3-5,V3v,subj08,0.1060925786339893,0.1472610573592096,0.29827893,0.05479529,0.04721142,0.00150807,0.14688912,0.26782256
560,NSD,MODEL_A,layer3-5,hV4,subj01,0.1841612528805375,0.1974688086862295,0.39827833,0.06927243,0.13821249,0.00390156,0.34423834,0.35265459
561,NSD,MODEL_A,layer3-5,hV4,subj02,0.1476119854549559,0.2070322363504787,0.4841545,0.07272435,0.2142387,0.00454731,0.4098735,0.46740094
562,NSD,MODEL_A,layer3-5,hV4,subj03,0.1058507123158312,0.1195681865772479,0.28529954,0.05101498,0.04326576,0.00133642,0.16365155,0.19957958
563,NSD,MODEL_A,layer3-5,hV4,subj04,0.1085684245683827,0.1047846234294678,0.2370833,0.0456785,0.0285112,0.00102541,0.14949987,0.14141023
564,NSD,MODEL_A,layer3-5,hV4,subj05,0.1326805154142513,0.1634458611831141,0.3652739,0.06237126,0.12825453,0.00354578,0.29475182,0.31166357
565,NSD,MODEL_A,layer3-5,hV4,subj06,0.1065224848357168,0.0899502164370513,0.22816433,0.04295806,0.02963261,0.00099617,0.13168941,0.13411514
566,NSD,MODEL_A,layer3-5,hV4,subj07,0.1192855961724604,0.1229387443983084,0.29335985,0.05368791,0.04570953,0.00146401,0.17458889,0.22579707
567,NSD,MODEL_A,layer3-5,hV4,subj08,0.1276302869291378,0.1569396016576427,0.30249199,0.05594024,0.04900728,0.00158065,0.15883444,0.28709158
568,NSD,MODEL_A,layer3-5,FFA-1,subj01,0.112530158487249,0.1074976258169176,0.34643193,0.06324737,0.11387179,0.00354014,0.38473356,0.39634278
569,NSD,MODEL_A,layer3-5,FFA-1,subj02,0.1180240450077364,0.1191181591877026,0.30911104,0.0500598,0.05416969,0.00135724,0.23381373,0.24608398
570,NSD,MODEL_A,layer3-5,FFA-1,subj03,0.099470136972209,0.0980736717830843,0.32140496,0.05626193,0.10100682,0.00284602,0.35708912,0.35221661
571,NSD,MODEL_A,layer3-5,FFA-1,subj04,0.0989151013188161,0.0930436313910935,0.2524817,0.04454834,0.02897638,0.00088695,0.1827895,0.19157563
572,NSD,MODEL_A,layer3-5,FFA-1,subj05,0.1283783045163387,0.1174994448809604,0.35357726,0.0603981,0.12282608,0.00333525,0.33187439,0.3714236
573,NSD,MODEL_A,layer3-5,FFA-1,subj06,0.0768875536716881,0.0705016931227443,0.26539961,0.04339362,0.03681934,0.00093906,0.17392172,0.26728423
