,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
37,TVSD,MODEL_A,layer3-20,V1,monkeyN,0.0725823613981478,0.1306148961335573,0.64482546,0.06536326,0.36494807,0.00374994,0.27238276,0.60376802
38,TVSD,MODEL_A,layer3-20,V4,monkeyF,0.1325189927968101,0.1937135103562833,0.59912227,0.06107728,0.23934144,0.00249096,0.37271989,0.5346948
39,TVSD,MODEL_A,layer3-20,V4,monkeyN,0.1504575119608671,0.23462396364639,0.69418144,0.07094292,0.468012,0.00488839,0.53238896,0.66363906
40,TVSD,MODEL_A,layer3-20,IT,monkeyF,0.2393665124574114,0.2927675367080765,0.69535296,0.07209019,0.46416976,0.00498803,0.64856296,0.68401786
41,TVSD,MODEL_A,layer3-20,IT,monkeyN,0.1366242991266838,0.1918770696071269,0.66224662,0.06778679,0.29447493,0.00309018,0.37370507,0.64304277
42,TVSD,MODEL_A,layer3-25,V1,monkeyF,0.0672758989714774,0.1243524537899181,0.56799986,0.05843215,0.29557386,0.00312417,0.29982309,0.50529959
43,TVSD,MODEL_A,layer3-25,V1,monkeyN,0.0655113419865929,0.1246946490410879,0.63097122,0.06395041,0.35342544,0.00363013,0.25947522,0.58821484
44,TVSD,MODEL_A,layer3-25,V4,monkeyF,0.1219583393712146,0.191061401588301,0.59012033,0.06013386,0.23028566,0.00239429,0.36687037,0.53177431
45,TVSD,MODEL_A,layer3-25,V4,monkeyN,0.1366653566580488,0.2298316947817236,0.69016549,0.07054737,0.4636683,0.004846,0.53633728,0.65308093
46,TVSD,MODEL_A,layer3-25,IT,monkeyF,0.2458428457118647,0.3005114228669607,0.70126719,0.07269386,0.47073941,0.00505634,0.65979993,0.70215234
47,TVSD,MODEL_A,layer3-25,IT,monkeyN,0.141171815886035,0.2032003690304516,0.66204584,0.06775654,0.29430816,0.00308757,0.36660072,0.66390944
48,TVSD,MODEL_A,layer3-30,V1,monkeyF,0.0736060042716706,0.1413424194510432,0.58212542,0.05989124,0.30091769,0.00318056,0.30499427,0.54109672
49,TVSD,MODEL_A,layer3-30,V1,monkeyN,0.0729379725716956,0.1402059935971459,0.62320518,0.06317268,0.35017142,0.00359884,0.25517609,0.57878962
50,TVSD,MODEL_A,layer3-30,V4,monkeyF,0.1230252061352203,0.1909472892534691,0.5789199,0.05899411,0.21026336,0.00218743,0.37326859,0.54914455
51,TVSD,MODEL_A,layer3-30,V4,monkeyN,0.1391299427718112,0.2265061111639617,0.68969841,0.07050163,0.45313128,0.00473734,0.52739859,0.65404095
52,TVSD,MODEL_A,layer3-30,IT,monkeyF,0.2361501371016,0.2782550694623918,0.70159048,0.07274575,0.46471229,0.0049968,0.63908228,0.68559846
53,TVSD,MODEL_A,layer3-30,IT,monkeyN,0.137713566079587,0.1783851184945922,0.7292174,0.0746086,0.52432162,0.0054833,0.51308582,0.75375333
54,TVSD,MODEL_A,layer4-1,V1,monkeyF,0.0854992292579601,0.1053460695664844,0.48333416,0.04967913,0.22867242,0.0023949,0.20857849,0.45295846
55,TVSD,MODEL_A,layer4-1,V1,monkeyN,0.0721540161221427,0.1050272195464758,0.58295641,0.05907982,0.32783966,0.00336643,0.24203154,0.58897449
56,TVSD,MODEL_A,layer4-1,V4,monkeyF,0.1495837993232173,0.1558259554755985,0.60746715,0.06187041,0.3666386,0.00378119,0.48841457,0.61299261
57,TVSD,MODEL_A,layer4-1,V4,monkeyN,0.156927199510993,0.183491576706169,0.62812993,0.0641866,0.40047,0.00417505,0.47552917,0.58562007
58,TVSD,MODEL_A,layer4-1,IT,monkeyF,0.2904719902119766,0.2699735307896845,0.65818137,0.06815092,0.43012547,0.00459216,0.6343437,0.67026749
59,TVSD,MODEL_A,layer4-1,IT,monkeyN,0.1559955381520781,0.1574618394992834,0.70691731,0.07229233,0.50149701,0.00522684,0.45713579,0.76483373
60,TVSD,MODEL_B,language_model-layers-3,V1,monkeyF,0.0338923109001818,0.0424951788509237,0.00656127,0.00065318,-43.28321269,-0.48011337,0.03327764,0.04921531
61,TVSD,MODEL_B,language_model-layers-3,V1,monkeyN,0.039000805937584,0.0568621276795475,0.01032944,0.0010563,-27.41594058,-0.28854112,0.04161025,0.05492911
62,TVSD,MODEL_B,language_model-layers-3,V4,monkeyF,0.0518397813342643,0.0981496345874006,-0.00031302,2.81e-06,-34.71390844,-0.38315601,0.02686091,0.03907432
63,TVSD,MODEL_B,language_model-layers-3,V4,monkeyN,0.0515683611527035,0.1137083427992358,0.00041901,3.806e-05,-42.44559108,-0.46024179,0.04310452,0.05687671
64,TVSD,MODEL_B,language_model-layers-3,IT,monkeyF,0.0841684029737933,0.1647142091665312,0.00953272,0.0009886,-56.9542616,-0.64397198,0.09496465,0.10660717
65,TVSD,MODEL_B,language_model-layers-3,IT,monkeyN,0.0509401640043228,0.0865017670267095,0.01294291,0.00131798,-40.39663059,-0.44907435,0.04172335,0.04741194
66,TVSD,MODEL_B,language_model-layers-8,V1,monkeyF,0.0336316458368123,0.0474099126720557,-0.00430951,-0.00045014,-37.42050504,-0.41436203,0.04564386,0.027386
67,TVSD,MODEL_B,language_model-layers-8,V1,monkeyN,0.0415997060198437,0.0646948115602851,0.0068003,0.00068846,-24.08359023,-0.25327888,0.04706903,0.05196508
68,TVSD,MODEL_B,language_model-layers-8,V4,monkeyF,0.0538546939826237,0.0925137544927972,0.00240597,0.00026201,-31.08906608,-0.3426353,0.03792657,0.02278347
69,TVSD,MODEL_B,language_model-layers-8,V4,monkeyN,0.0565009809939398,0.1088677495050048,-0.00103619,-0.00012973,-38.28707267,-0.41600916,0.0339278,0.05052372
70,TVSD,MODEL_B,language_model-layers-8,IT,monkeyF,0.0964147079879731,0.1640933030960243,0.00711461,0.00076818,-51.66949624,-0.58564224,0.09848483,0.09942188
71,TVSD,MODEL_B,language_model-layers-8,IT,monkeyN,0.0601303018359907,0.0819992332853784,0.00124066,0.00014196,-35.7443525,-0.39687905,0.03364326,0.0318479
72,TVSD,MODEL_B,language_model-layers-11,V1,monkeyF,0.0200448470520694,0.0374685312694823,0.00232517,0.00025316,-75.91600208,-0.84269237,0.02566427,0.01562199
