model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
MODEL_A,layer3-25,TVSD,monkeyF,V4,0.67674449,0.06902798,0.46393704,0.00482357,0.62595701,0.75940071
MODEL_A,layer3-25,TVSD,monkeyF,V1,0.63403371,0.06530283,0.40675905,0.00430745,0.43780818,0.75900937
MODEL_A,layer3-25,TVSD,monkeyN,IT,0.74421369,0.07621758,0.56185237,0.0058906,0.5420443,0.81880056
MODEL_A,layer3-25,TVSD,monkeyN,V4,0.66148466,0.06767106,0.45658797,0.00478141,0.61213706,0.76700133
MODEL_A,layer3-25,TVSD,monkeyN,V1,0.69620663,0.07057104,0.4922668,0.0050552,0.40443647,0.82224656
MODEL_A,layer3-30,TVSD,monkeyF,IT,0.61422272,0.06372715,0.3931501,0.00422728,0.62829725,0.7167772
MODEL_A,layer3-30,TVSD,monkeyF,V4,0.64873544,0.06617731,0.42370993,0.00440677,0.58985887,0.74132288
MODEL_A,layer3-30,TVSD,monkeyF,V1,0.59518875,0.06133251,0.3631957,0.00385288,0.34410861,0.71054428
MODEL_A,layer3-30,TVSD,monkeyN,IT,0.73818422,0.07557293,0.54468029,0.00569345,0.51916622,0.81061859
MODEL_A,layer3-30,TVSD,monkeyN,V4,0.67077116,0.06861354,0.46567083,0.0048733,0.603702,0.76366222
MODEL_A,layer3-30,TVSD,monkeyN,V1,0.6703515,0.06794059,0.45675837,0.00468826,0.35366865,0.80883953
MODEL_A,layer4-1,TVSD,monkeyF,IT,0.63230868,0.06557279,0.39206801,0.00420099,0.60858857,0.67327013
MODEL_A,layer4-1,TVSD,monkeyF,V4,0.60744515,0.06195405,0.36897024,0.00383551,0.47266547,0.6024504
MODEL_A,layer4-1,TVSD,monkeyF,V1,0.62544444,0.06442554,0.38786546,0.00410761,0.37007888,0.67526562
MODEL_A,layer4-1,TVSD,monkeyN,IT,0.72190059,0.07389798,0.50813072,0.00530266,0.49676241,0.79500125
MODEL_A,layer4-1,TVSD,monkeyN,V4,0.65280708,0.06678736,0.42750982,0.00447559,0.49791379,0.67906275
MODEL_A,layer4-1,TVSD,monkeyN,V1,0.66144752,0.06705972,0.42600171,0.00437757,0.32733374,0.7197951
MODEL_B,language_model-layers-3,TVSD,monkeyF,IT,0.01609849,0.00162892,-0.02296629,-0.00026314,0.04137024,0.03882902
MODEL_B,language_model-layers-3,TVSD,monkeyF,V4,0.01455863,0.00145248,-0.03538452,-0.00039826,0.03262346,0.05168986
MODEL_B,language_model-layers-3,TVSD,monkeyF,V1,0.0046984,0.00049199,-0.01155652,-0.00012857,0.00885677,-0.01044737
MODEL_B,language_model-layers-3,TVSD,monkeyN,IT,0.02073087,0.00211902,-0.02959874,-0.0003311,0.02390015,0.03182495
MODEL_B,language_model-layers-3,TVSD,monkeyN,V4,0.01034425,0.00103883,-0.02056377,-0.00022425,0.02147224,0.00869566
MODEL_B,language_model-layers-3,TVSD,monkeyN,V1,0.00188721,0.00017746,-0.01060682,-0.00011274,-0.00681068,0.0073541
MODEL_B,language_model-layers-8,TVSD,monkeyF,IT,0.01850952,0.00190622,-0.03605678,-0.00040725,0.03657212,0.05025468
MODEL_B,language_model-layers-8,TVSD,monkeyF,V4,0.01313193,0.00134273,-0.03559085,-0.00038995,0.02597426,0.03314578
MODEL_B,language_model-layers-8,TVSD,monkeyF,V1,0.00601885,0.0006233,-0.01173116,-0.00012967,0.00443014,-0.0036925
