dataset,model,layer,roi,subject,rsa,cka
TVSD,MODEL_B,language_model-layers-8,IT,monkeyF,0.09641470798797319,0.16409330309602432
TVSD,MODEL_B,language_model-layers-8,IT,monkeyN,0.060130301835990704,0.08199923328537842
TVSD,MODEL_B,language_model-layers-11,V1,monkeyF,0.020044847052069457,0.037468531269482304
TVSD,MODEL_B,language_model-layers-11,V1,monkeyN,0.029364242497234353,0.05396842093057768
TVSD,MODEL_B,language_model-layers-11,V4,monkeyF,0.05282526706085503,0.09705765174092816
TVSD,MODEL_B,language_model-layers-11,V4,monkeyN,0.054851182965361026,0.10881022303637287
TVSD,MODEL_B,language_model-layers-11,IT,monkeyF,0.09093169273481165,0.16707147432810693
TVSD,MODEL_B,language_model-layers-11,IT,monkeyN,0.05144199135843987,0.09060228972161077
TVSD,MODEL_B,language_model-layers-16,V1,monkeyF,0.022618828068157945,0.04271118423662044
TVSD,MODEL_B,language_model-layers-16,V1,monkeyN,0.02489672400972305,0.056162770096673996
TVSD,MODEL_B,language_model-layers-16,V4,monkeyF,0.060642499832982394,0.08516486032260058
TVSD,MODEL_B,language_model-layers-16,V4,monkeyN,0.06124222641597297,0.09641590777118912
TVSD,MODEL_B,language_model-layers-16,IT,monkeyF,0.09189265030155543,0.14870911596844025
TVSD,MODEL_B,language_model-layers-16,IT,monkeyN,0.04738881576565275,0.07569054472762085
TVSD,MODEL_B,visual-blocks-2,V1,monkeyF,0.12379310871206409,0.17875691641610855
TVSD,MODEL_B,visual-blocks-2,V1,monkeyN,0.08153297170120309,0.1386306482078299
TVSD,MODEL_B,visual-blocks-2,V4,monkeyF,0.044791638599801585,0.07353748234189682
TVSD,MODEL_B,visual-blocks-2,V4,monkeyN,0.04645707565162922,0.06750054860941945
TVSD,MODEL_B,visual-blocks-2,IT,monkeyF,0.07604547413467473,0.07866373463433342
TVSD,MODEL_B,visual-blocks-2,IT,monkeyN,0.04525367345122015,0.02326724149593818
TVSD,MODEL_B,visual-blocks-6,V1,monkeyF,0.12955073580639484,0.17310662422188886
TVSD,MODEL_B,visual-blocks-6,V1,monkeyN,0.0813851361929172,0.12397615385253583
TVSD,MODEL_B,visual-blocks-6,V4,monkeyF,0.06751867119077662,0.08947326245868448
TVSD,MODEL_B,visual-blocks-6,V4,monkeyN,0.06208848260866382,0.07880598431100838
TVSD,MODEL_B,visual-blocks-6,IT,monkeyF,0.10804838453169179,0.09710396814835744
TVSD,MODEL_B,visual-blocks-6,IT,monkeyN,0.05124798537092196,0.03947842542270679
TVSD,MODEL_B,visual-blocks-10,V1,monkeyF,0.09250792429067099,0.04971351959205883
TVSD,MODEL_B,visual-blocks-10,V1,monkeyN,0.04036425147962056,0.013557904775653912
TVSD,MODEL_B,visual-blocks-10,V4,monkeyF,0.03559646815839255,0.009880615856680599
TVSD,MODEL_B,visual-blocks-10,V4,monkeyN,0.04057961791051301,0.008767429997329039
TVSD,MODEL_B,visual-blocks-10,IT,monkeyF,0.08167840507973813,0.013241624778524677
TVSD,MODEL_B,visual-blocks-10,IT,monkeyN,0.03547001001197816,-0.004621349058976504
TVSD,MODEL_B,visual-blocks-14,V1,monkeyF,0.06378104307819475,0.03211241603135414
TVSD,MODEL_B,visual-blocks-14,V1,monkeyN,0.03054090911916842,0.0011069392646564325
TVSD,MODEL_B,visual-blocks-14,V4,monkeyF,0.036148123157362495,0.00502647648340089
TVSD,MODEL_B,visual-blocks-14,V4,monkeyN,0.038709035673413876,0.0075614482738863885
TVSD,MODEL_B,visual-blocks-14,IT,monkeyF,0.09713059004530702,0.011894215721341818
TVSD,MODEL_B,visual-blocks-14,IT,monkeyN,0.04076882537696677,0.00044991914927360103
TVSD,MODEL_B,visual-blocks-18,V1,monkeyF,0.05674943208977594,0.03475622824411117
TVSD,MODEL_B,visual-blocks-18,V1,monkeyN,0.03377005190492214,0.0059237488591034875
TVSD,MODEL_B,visual-blocks-18,V4,monkeyF,0.041385770141859866,0.010452895857433003
TVSD,MODEL_B,visual-blocks-18,V4,monkeyN,0.04925225463737392,0.01725683260992609
TVSD,MODEL_B,visual-blocks-18,IT,monkeyF,0.10859524348306206,0.028291645616876616
TVSD,MODEL_B,visual-blocks-18,IT,monkeyN,0.05257290620920672,0.0103015857835971
TVSD,MODEL_B,visual-blocks-22,V1,monkeyF,0.047288342748594364,0.03935540595662754
TVSD,MODEL_B,visual-blocks-22,V1,monkeyN,0.03482454432195843,0.015894932259218675
TVSD,MODEL_B,visual-blocks-22,V4,monkeyF,0.06372658659194003,0.02898112536036509
TVSD,MODEL_B,visual-blocks-22,V4,monkeyN,0.07257266759408969,0.042370527196814084
TVSD,MODEL_B,visual-blocks-22,IT,monkeyF,0.11341867896326768,0.067532132485657
TVSD,MODEL_B,visual-blocks-22,IT,monkeyN,0.0595103478542282,0.03099748810477738
