model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,rsa,cka
MODEL_A,layer3-30,EEG2,sub-04,occipital_parietal,0.21292913,18.31647572,0.0421783,-592571.60710164,0.08357365,0.01647947
MODEL_A,layer3-30,EEG2,sub-05,occipital_parietal,0.25324628,153.16634891,0.06372406,-911385.25242023,0.14131689,0.14438579
MODEL_A,layer3-30,EEG2,sub-06,occipital_parietal,0.31074519,48.84427662,0.0837673,-1211980.82892351,0.12759411,0.16732449
MODEL_A,layer3-30,EEG2,sub-07,occipital_parietal,0.24308714,112.48441211,0.0667353,-316956.12592634,0.12614892,0.19143077
MODEL_A,layer3-30,EEG2,sub-08,occipital_parietal,0.20763676,49.77275952,0.04522146,-225765.74293666,0.10216626,0.14487748
MODEL_A,layer3-30,EEG2,sub-09,occipital_parietal,0.1965442,65.19988287,0.04247011,-358528.6285491,0.17528936,0.09101833
MODEL_A,layer3-30,EEG2,sub-10,occipital_parietal,0.34581023,22.14049425,0.11087935,-2108858.59904647,0.10898347,0.17729266
MODEL_A,layer4-1,EEG2,sub-01,occipital_parietal,0.1380699,-30.59047809,-0.02534999,-3606997.51069526,0.03537183,0.00756668
MODEL_A,layer4-1,EEG2,sub-02,occipital_parietal,0.12402969,39.13016165,-0.0717015,-1150871.62044882,0.126684,0.08132211
MODEL_A,layer4-1,EEG2,sub-03,occipital_parietal,0.2454474,31.95971472,-0.06861183,-3182666.90288807,0.08621028,0.11312806
MODEL_A,layer4-1,EEG2,sub-04,occipital_parietal,0.18588467,53.34013471,-0.04347185,-1727400.74551492,0.04163528,0.02075177
MODEL_A,layer4-1,EEG2,sub-05,occipital_parietal,0.2279635,111.35546282,-0.17604291,-13891260.07492786,0.10468502,0.14788824
MODEL_A,layer4-1,EEG2,sub-06,occipital_parietal,0.24254333,32.03306767,-0.10191448,-3702790.51788119,0.1578574,0.16575673
MODEL_A,layer4-1,EEG2,sub-07,occipital_parietal,0.20817624,52.2692929,0.02170563,-2315108.56525428,0.12737328,0.17389983
MODEL_A,layer4-1,EEG2,sub-08,occipital_parietal,0.21920486,34.75235724,-0.16194747,-4059810.74232189,0.11688784,0.1418738
MODEL_A,layer4-1,EEG2,sub-09,occipital_parietal,0.16567704,8.31143888,-0.17694869,-5948225.8772279,0.12684276,0.09005475
MODEL_A,layer4-1,EEG2,sub-10,occipital_parietal,0.29922482,-7.25276437,-0.06001676,-5167756.38626277,0.14068573,0.17543316
MODEL_B,language_model-layers-3,EEG2,sub-01,occipital_parietal,0.0067777,1.79599528,-0.34733898,-12702086.43556454,0.03795935,0.00787086
MODEL_B,language_model-layers-3,EEG2,sub-02,occipital_parietal,-0.00162053,4.2051709,-0.92037733,-12079043.12888678,0.0216611,0.05167939
MODEL_B,language_model-layers-3,EEG2,sub-03,occipital_parietal,0.00578686,6.64681447,-0.75680736,-15539963.6282404,-0.00319542,0.0733863
MODEL_B,language_model-layers-3,EEG2,sub-04,occipital_parietal,0.00122188,2.37251049,-0.57655294,-11451977.18362515,0.01805995,0.01007288
MODEL_B,language_model-layers-3,EEG2,sub-05,occipital_parietal,0.00242813,5.08613834,-1.68311286,-68423233.15455028,0.037353,0.09237178
MODEL_B,language_model-layers-3,EEG2,sub-06,occipital_parietal,0.00445307,4.54683099,-1.94146104,-31246679.1572256,0.10869286,0.1114435
MODEL_B,language_model-layers-3,EEG2,sub-07,occipital_parietal,0.00672657,7.94911196,-0.52336895,-15326649.81855117,0.09935893,0.14201974
MODEL_B,language_model-layers-3,EEG2,sub-08,occipital_parietal,0.0029456,2.80603183,-0.72428547,-10966118.38174393,0.05638122,0.09316061
MODEL_B,language_model-layers-3,EEG2,sub-09,occipital_parietal,0.00429676,6.46929578,-1.31394626,-32513628.66416494,0.06291089,0.06394887
MODEL_B,language_model-layers-3,EEG2,sub-10,occipital_parietal,0.00721407,-5.39976694,-0.7583052,-14612787.19720416,0.09780103,0.12267704
MODEL_B,language_model-layers-8,EEG2,sub-01,occipital_parietal,0.00257605,5.20019536,-0.31669851,-11307080.23542955,0.03880275,0.00703355
MODEL_B,language_model-layers-8,EEG2,sub-02,occipital_parietal,0.00179519,-5.89740612,-0.83288981,-11273537.05868024,-0.00411197,0.05174457
MODEL_B,language_model-layers-8,EEG2,sub-03,occipital_parietal,0.00540299,-4.26841897,-0.68197751,-14300453.4997649,0.00068623,0.0725977
MODEL_B,language_model-layers-8,EEG2,sub-04,occipital_parietal,0.00418979,-0.24009603,-0.50744332,-10099025.62378003,0.01035854,0.01039586
MODEL_B,language_model-layers-8,EEG2,sub-05,occipital_parietal,0.00038849,-12.8359456,-1.52365802,-62222840.75222044,0.03724988,0.09487099
MODEL_B,language_model-layers-8,EEG2,sub-06,occipital_parietal,0.00534293,-4.25968427,-1.72619152,-27727095.26135157,0.11352239,0.11392275
MODEL_B,language_model-layers-8,EEG2,sub-07,occipital_parietal,0.00498387,12.54544567,-0.46787508,-13639364.21667445,0.1029972,0.13185647
MODEL_B,language_model-layers-8,EEG2,sub-08,occipital_parietal,0.00506278,-4.48619417,-0.63957392,-9828760.33516392,0.05350599,0.0894821
MODEL_B,language_model-layers-8,EEG2,sub-09,occipital_parietal,-0.00107443,-7.66336735,-1.17798976,-29809797.51839999,0.0768405,0.0669724
MODEL_B,language_model-layers-8,EEG2,sub-10,occipital_parietal,0.00998321,-6.29594895,-0.65742444,-12798804.86578877,0.07872585,0.12362094
MODEL_B,language_model-layers-11,EEG2,sub-01,occipital_parietal,0.00451774,-4.85611729,-0.60162156,-22025991.94798076,0.03302979,0.00615013
MODEL_B,language_model-layers-11,EEG2,sub-02,occipital_parietal,0.00254418,2.87240078,-1.56794682,-20554820.30290961,0.02720915,0.04731462
MODEL_B,language_model-layers-11,EEG2,sub-03,occipital_parietal,0.00024859,0.64060439,-1.30628508,-26623343.97041561,0.03059339,0.0713489
MODEL_B,language_model-layers-11,EEG2,sub-04,occipital_parietal,0.00542305,-2.67106416,-0.96142189,-19423426.36627083,0.0127345,0.01146526
MODEL_B,language_model-layers-11,EEG2,sub-05,occipital_parietal,0.00105454,0.66375813,-2.89459801,-117295555.25933181,0.04917121,0.09633915
MODEL_B,language_model-layers-11,EEG2,sub-06,occipital_parietal,0.00471121,-0.92011062,-3.30561866,-53796728.65472188,0.15274322,0.11752983
MODEL_B,language_model-layers-11,EEG2,sub-07,occipital_parietal,0.00527472,-19.90927178,-0.9004991,-26987071.31448953,0.13217073,0.13056115
MODEL_B,language_model-layers-11,EEG2,sub-08,occipital_parietal,0.00497687,-0.87227918,-1.23199996,-18554197.58702571,0.10999721,0.08698998
MODEL_B,language_model-layers-11,EEG2,sub-09,occipital_parietal,0.00282894,7.6607161,-2.22530633,-55221779.22757109,0.09334955,0.06542932
MODEL_B,language_model-layers-11,EEG2,sub-10,occipital_parietal,0.01347348,4.16220051,-1.26676363,-23889941.46461011,0.10289261,0.11661977
MODEL_B,language_model-layers-16,EEG2,sub-01,occipital_parietal,0.00291071,-6.43549561,-1.78531328,-65205225.46988374,0.04376931,0.00780321
MODEL_B,language_model-layers-16,EEG2,sub-02,occipital_parietal,0.00339468,-3.14597884,-4.6509586,-61559073.24254721,0.02657412,0.05126329
MODEL_B,language_model-layers-16,EEG2,sub-03,occipital_parietal,0.00455568,3.9467118,-3.87341066,-78283380.81437661,0.02245617,0.06311663
MODEL_B,language_model-layers-16,EEG2,sub-04,occipital_parietal,0.00698291,2.85244282,-2.88909255,-58235329.95891629,-0.00215893,0.01244507
MODEL_B,language_model-layers-16,EEG2,sub-05,occipital_parietal,-0.00058138,-6.47603889,-8.68009378,-353944104.5360854,0.03972882,0.09395356
MODEL_B,language_model-layers-16,EEG2,sub-06,occipital_parietal,0.00513672,-7.30482414,-9.77170395,-156444840.21980962,0.12061228,0.11244697
MODEL_B,language_model-layers-16,EEG2,sub-07,occipital_parietal,0.00952797,-6.2457169,-2.68862996,-79589931.47690123,0.14334269,0.1310301
MODEL_B,language_model-layers-16,EEG2,sub-08,occipital_parietal,0.01060063,9.13788121,-3.63164215,-55172466.20571287,0.08175133,0.08599012
MODEL_B,language_model-layers-16,EEG2,sub-09,occipital_parietal,0.00586914,-0.3570929,-6.61074231,-164494025.50006872,0.07440688,0.06898261
MODEL_B,language_model-layers-16,EEG2,sub-10,occipital_parietal,0.00548924,-8.44993117,-3.86137486,-75531018.65191348,0.08261653,0.11349667
MODEL_B,visual-blocks-2,EEG2,sub-01,occipital_parietal,0.14460741,65.30412984,0.01245989,-1264707.12097277,0.03270663,-0.00070748
MODEL_B,visual-blocks-2,EEG2,sub-02,occipital_parietal,0.12211727,22.15600913,-0.01633244,-702982.28765588,0.02007867,0.02410221
MODEL_B,visual-blocks-2,EEG2,sub-03,occipital_parietal,0.18292438,28.96889264,0.02868198,-742302.50622792,0.06792049,0.08145197
MODEL_B,visual-blocks-2,EEG2,sub-04,occipital_parietal,0.14708447,33.05287294,0.00559269,-621703.4728308,0.07123652,0.0059858
MODEL_B,visual-blocks-2,EEG2,sub-05,occipital_parietal,0.17900517,82.50718292,0.0304557,-1697798.9183198,0.0622994,0.05904335
MODEL_B,visual-blocks-2,EEG2,sub-06,occipital_parietal,0.19881176,38.81849723,0.03356007,-506054.07108756,0.0123277,0.04960899
MODEL_B,visual-blocks-2,EEG2,sub-07,occipital_parietal,0.13674425,12.0640803,-0.00727982,-1579917.71725031,0.03041189,0.05834359
MODEL_B,visual-blocks-2,EEG2,sub-08,occipital_parietal,0.13580428,13.18872004,-0.00895368,-671371.54761965,0.02170992,0.06330596
MODEL_B,visual-blocks-2,EEG2,sub-09,occipital_parietal,0.13228549,62.10593674,0.00207652,-816841.45493267,0.05613037,0.03364223
MODEL_B,visual-blocks-2,EEG2,sub-10,occipital_parietal,0.22711065,28.44225585,0.05953917,-413567.81981692,0.05891567,0.07937869
MODEL_B,visual-blocks-6,EEG2,sub-01,occipital_parietal,0.1598355,44.05817046,0.00376353,-2294675.17775535,0.0417371,0.00087021
MODEL_B,visual-blocks-6,EEG2,sub-02,occipital_parietal,0.09514316,-38.53672155,-0.02272411,-1048353.6445213,0.01456131,0.02799421
MODEL_B,visual-blocks-6,EEG2,sub-03,occipital_parietal,0.20453624,57.6853169,0.03140645,-1024431.27424803,0.08230981,0.08246929
MODEL_B,visual-blocks-6,EEG2,sub-04,occipital_parietal,0.17233124,-9.35521622,0.0115276,-1017402.82765787,0.09097322,0.00492939
MODEL_B,visual-blocks-6,EEG2,sub-05,occipital_parietal,0.1394852,38.04663753,-0.07626813,-5644099.82846505,0.08735249,0.05282227
MODEL_B,visual-blocks-6,EEG2,sub-06,occipital_parietal,0.21315826,6.28687104,0.02687139,-987639.717765,0.04293929,0.05938251
MODEL_B,visual-blocks-6,EEG2,sub-07,occipital_parietal,0.19555149,80.22993974,0.01243581,-1947517.19605235,0.05297666,0.07513588
MODEL_B,visual-blocks-6,EEG2,sub-08,occipital_parietal,0.15341961,26.22032178,-0.03539458,-1504300.33959231,0.04870149,0.07107089
MODEL_B,visual-blocks-6,EEG2,sub-09,occipital_parietal,0.12476322,37.95602594,-0.01576284,-1426574.32893241,0.08022062,0.04182717
MODEL_B,visual-blocks-6,EEG2,sub-10,occipital_parietal,0.2467977,68.85475977,0.03675489,-910305.64611594,0.08969383,0.0865203
MODEL_B,visual-blocks-10,EEG2,sub-01,occipital_parietal,0.0980328,39.39769809,-0.52673184,-18614351.9920147,0.014216,0.00063027
MODEL_B,visual-blocks-10,EEG2,sub-02,occipital_parietal,0.06266606,8.11627759,-0.70306344,-8951626.82476294,-0.02715425,0.00704715
MODEL_B,visual-blocks-10,EEG2,sub-03,occipital_parietal,0.11187067,12.61581747,-0.60932603,-9711028.997965,0.02365702,0.01724123
MODEL_B,visual-blocks-10,EEG2,sub-04,occipital_parietal,0.07256836,33.1494561,-0.57939544,-9527462.8940182,0.06745094,0.00137442
MODEL_B,visual-blocks-10,EEG2,sub-05,occipital_parietal,0.12310002,167.20585064,-0.55905039,-24481783.49356307,0.03064116,0.02407855
MODEL_B,visual-blocks-10,EEG2,sub-06,occipital_parietal,0.1390998,32.92037181,-0.57002861,-9922226.64840788,0.01883477,0.03400538
MODEL_B,visual-blocks-10,EEG2,sub-07,occipital_parietal,0.10370751,18.05799712,-0.53898027,-16455897.55711716,0.06244133,0.01946506
MODEL_B,visual-blocks-10,EEG2,sub-08,occipital_parietal,0.11156475,31.79659962,-0.65043344,-10366201.93910747,0.03573133,0.0161309
MODEL_B,visual-blocks-10,EEG2,sub-09,occipital_parietal,0.0430694,-15.17932034,-0.79807136,-17208507.64815824,0.0811106,0.01238776
MODEL_B,visual-blocks-10,EEG2,sub-10,occipital_parietal,0.11958281,-18.16218954,-0.55584293,-14460055.01707658,0.02513946,0.02764377
MODEL_B,visual-blocks-14,EEG2,sub-01,occipital_parietal,0.1337495,33.82172267,-1.10314138,-44076038.80953535,0.01941993,-0.00195799
MODEL_B,visual-blocks-14,EEG2,sub-02,occipital_parietal,0.09437631,13.67700584,-0.73555993,-10805649.00187713,-0.0012341,0.00730188
MODEL_B,visual-blocks-14,EEG2,sub-03,occipital_parietal,0.13083981,60.46870301,-0.71213502,-12304523.49469934,0.02515538,0.0149625
MODEL_B,visual-blocks-14,EEG2,sub-04,occipital_parietal,0.04219662,6.71644524,-0.5780388,-9126558.26062177,0.09166441,0.00042562
MODEL_B,visual-blocks-14,EEG2,sub-05,occipital_parietal,0.15884867,158.9591833,-0.77069854,-37432544.59317967,0.04114387,0.02733178
MODEL_B,visual-blocks-14,EEG2,sub-06,occipital_parietal,0.18828044,71.87396686,-0.48530771,-8565751.01372207,-0.00386155,0.03481958
MODEL_B,visual-blocks-14,EEG2,sub-07,occipital_parietal,0.17971354,70.70010597,-0.54556035,-20935423.63481008,0.04991058,0.02031058
MODEL_B,visual-blocks-14,EEG2,sub-08,occipital_parietal,0.12763517,4.12557091,-0.72253212,-11780890.33230922,0.02799836,0.01304174
MODEL_B,visual-blocks-14,EEG2,sub-09,occipital_parietal,0.09653912,34.3686696,-0.75581934,-17057665.26318958,0.07523176,0.01383864
MODEL_B,visual-blocks-14,EEG2,sub-10,occipital_parietal,0.19421098,35.62664275,-0.49866999,-13026514.95144813,-0.00430122,0.02646485
MODEL_B,visual-blocks-18,EEG2,sub-01,occipital_parietal,0.08461344,51.58576568,-0.33761587,-13484469.63722864,0.0162338,-0.00146538
MODEL_B,visual-blocks-18,EEG2,sub-02,occipital_parietal,0.071674,9.88257192,-0.34996471,-5662105.65802729,0.00459262,0.01162084
MODEL_B,visual-blocks-18,EEG2,sub-03,occipital_parietal,0.08794744,-28.41185181,-0.34673153,-6604715.77053078,0.02445331,0.02014065
MODEL_B,visual-blocks-18,EEG2,sub-04,occipital_parietal,0.08363074,-13.84230892,-0.28985365,-5869392.50904374,0.08712048,0.00134802
MODEL_B,visual-blocks-18,EEG2,sub-05,occipital_parietal,0.09027169,2.00137773,-0.3550304,-17268154.52062775,0.06759456,0.03514429
MODEL_B,visual-blocks-18,EEG2,sub-06,occipital_parietal,0.13208979,35.98116348,-0.29726066,-5353072.11529371,0.00697479,0.04323307
MODEL_B,visual-blocks-18,EEG2,sub-07,occipital_parietal,0.11307885,-23.91732412,-0.29926873,-10122725.84457158,0.0446069,0.03210596
MODEL_B,visual-blocks-18,EEG2,sub-08,occipital_parietal,0.10978173,23.78766225,-0.30701477,-4895321.05344066,0.04911555,0.02175261
MODEL_B,visual-blocks-18,EEG2,sub-09,occipital_parietal,0.08869883,-8.45295107,-0.39760358,-11992344.67541018,0.0742292,0.01840419
MODEL_B,visual-blocks-18,EEG2,sub-10,occipital_parietal,0.12736949,-12.01811309,-0.22454834,-5529148.14141806,-0.00963303,0.03688633
MODEL_B,visual-blocks-22,EEG2,sub-01,occipital_parietal,0.14693004,74.12419452,-0.14744624,-7344656.71750158,0.0291208,0.00262485
MODEL_B,visual-blocks-22,EEG2,sub-02,occipital_parietal,0.10491529,-6.74467543,-0.20396174,-4005008.16575945,0.04214152,0.02292783
MODEL_B,visual-blocks-22,EEG2,sub-03,occipital_parietal,0.1479375,28.66989621,-0.16331904,-3184384.61419408,0.03782803,0.03636028
MODEL_B,visual-blocks-22,EEG2,sub-04,occipital_parietal,0.12433832,-59.37463094,-0.22047197,-5076526.94783538,0.04892591,0.00424534
MODEL_B,visual-blocks-22,EEG2,sub-05,occipital_parietal,0.16464357,171.76323329,-0.13111753,-8302161.64819554,0.06467152,0.05783866
MODEL_B,visual-blocks-22,EEG2,sub-06,occipital_parietal,0.18449926,5.4432924,-0.13304405,-3300767.34939478,0.05927477,0.06746902
MODEL_B,visual-blocks-22,EEG2,sub-07,occipital_parietal,0.18884927,73.74843869,-0.11262541,-5919189.45527839,0.09837294,0.0599249
MODEL_B,visual-blocks-22,EEG2,sub-08,occipital_parietal,0.17638915,17.70255035,-0.13763587,-3068449.73168779,0.07487839,0.04528107
MODEL_B,visual-blocks-22,EEG2,sub-09,occipital_parietal,0.14894166,61.93270812,-0.137867,-5396319.86115123,0.08422363,0.02962992
MODEL_B,visual-blocks-22,EEG2,sub-10,occipital_parietal,0.26169174,58.89865219,-0.01387753,-2988785.06041243,0.04967731,0.06669982
