dataset,model,layer,roi,subject,rsa,cka
EEG2,MODEL_A,layer1-0,whole_brain,sub-01,0.05953903620534769,0.005231028002335923
EEG2,MODEL_A,layer1-0,whole_brain,sub-02,0.021273537938339887,0.03011341378869902
EEG2,MODEL_A,layer1-0,whole_brain,sub-03,0.0033403697077434534,0.09563087391422483
EEG2,MODEL_A,layer1-0,whole_brain,sub-04,0.08364628959861567,0.01756008409422602
EEG2,MODEL_A,layer1-0,whole_brain,sub-05,0.030753417347081487,0.13423026502291313
EEG2,MODEL_A,layer1-0,whole_brain,sub-06,0.03572428329761649,0.1176036903269169
EEG2,MODEL_A,layer1-0,whole_brain,sub-07,0.04869284006723188,0.12363285109156608
EEG2,MODEL_A,layer1-0,whole_brain,sub-08,0.10395438941693293,0.10096624964692544
EEG2,MODEL_A,layer1-0,whole_brain,sub-09,0.028651865712006425,0.03425760388552839
EEG2,MODEL_A,layer1-0,whole_brain,sub-10,-0.05392942299045993,0.10191646420353612
EEG2,MODEL_A,layer2-0,occipital,sub-01,0.11239148077659963,0.150926197327098
EEG2,MODEL_A,layer2-0,occipital,sub-02,0.1792057760256796,0.12408581544806478
EEG2,MODEL_A,layer2-0,occipital,sub-03,0.15726757604563116,0.26093831096053355
EEG2,MODEL_A,layer2-0,occipital,sub-04,0.18497890998908587,0.1153317328943961
EEG2,MODEL_A,layer2-0,occipital,sub-05,0.2002496203820252,0.2755829072414708
EEG2,MODEL_A,layer2-0,occipital,sub-06,0.1272003220414192,0.2506835595746127
EEG2,MODEL_A,layer2-0,occipital,sub-07,0.13849094880173066,0.24372159609753355
EEG2,MODEL_A,layer2-0,occipital,sub-08,0.1915139683533102,0.20591936890669946
EEG2,MODEL_A,layer2-0,occipital,sub-09,0.20091491268953116,0.09038355774159881
EEG2,MODEL_A,layer2-0,occipital,sub-10,0.12136926606254782,0.21921539795876588
EEG2,MODEL_A,layer2-0,parietal,sub-01,0.05389593934528697,0.00034264725285666753
EEG2,MODEL_A,layer2-0,parietal,sub-02,0.07893560022313258,0.053324586854755454
EEG2,MODEL_A,layer2-0,parietal,sub-03,0.06857086894949993,0.11278224844332806
EEG2,MODEL_A,layer2-0,parietal,sub-04,0.08504644213573412,0.011198228277495035
EEG2,MODEL_A,layer2-0,parietal,sub-05,0.15522236605630169,0.18098720176244407
EEG2,MODEL_A,layer2-0,parietal,sub-06,0.09932769185852762,0.14794171266622883
EEG2,MODEL_A,layer2-0,parietal,sub-07,0.09244048225973248,0.1246262125432381
EEG2,MODEL_A,layer2-0,parietal,sub-08,0.09723353601356284,0.10865925443525117
EEG2,MODEL_A,layer2-0,parietal,sub-09,0.08354316980403508,0.045051391421233364
EEG2,MODEL_A,layer2-0,parietal,sub-10,0.07890015669901654,0.1220606125213299
EEG2,MODEL_A,layer2-0,temporal,sub-01,0.059737709967577386,0.058774957540827524
EEG2,MODEL_A,layer2-0,temporal,sub-02,0.07263055102605118,0.03953443618479021
EEG2,MODEL_A,layer2-0,temporal,sub-03,0.00793834022692602,0.06225909771226772
EEG2,MODEL_A,layer2-0,temporal,sub-04,0.055847184799957324,0.03320284529662132
EEG2,MODEL_A,layer2-0,temporal,sub-05,-0.015166643244481314,0.0401495465829105
EEG2,MODEL_A,layer2-0,temporal,sub-06,0.08605094139372066,0.09342775758801043
EEG2,MODEL_A,layer2-0,temporal,sub-07,0.04164486955582093,0.06456180921922004
EEG2,MODEL_A,layer2-0,temporal,sub-08,0.05822393027518037,0.05661391991944326
EEG2,MODEL_A,layer2-0,temporal,sub-09,0.06832121523346031,0.022607349572457386
EEG2,MODEL_A,layer2-0,temporal,sub-10,0.03349620003029901,0.05031286201107225
EEG2,MODEL_A,layer2-0,frontal,sub-01,0.004144275926547092,0.02515998883962644
EEG2,MODEL_A,layer2-0,frontal,sub-02,-0.008388469316473345,0.020557100376283048
EEG2,MODEL_A,layer2-0,frontal,sub-03,0.007934338811287484,0.03692325212172783
EEG2,MODEL_A,layer2-0,frontal,sub-04,0.015132761148884996,0.01045395772213965
EEG2,MODEL_A,layer2-0,frontal,sub-05,-0.03732106733849663,0.02000043093944923
EEG2,MODEL_A,layer2-0,frontal,sub-06,0.04314670606721893,0.059357676808124545
EEG2,MODEL_A,layer2-0,frontal,sub-07,-0.033755077900515684,0.0575503300151267
EEG2,MODEL_A,layer2-0,frontal,sub-08,0.09313450839782314,0.04605207116651819
EEG2,MODEL_A,layer2-0,frontal,sub-09,0.01217000729693049,0.008067589473530826
EEG2,MODEL_A,layer2-0,frontal,sub-10,-0.03328633034397486,0.01135902417874056
EEG2,MODEL_A,layer2-0,central,sub-01,0.11556718537915542,0.007719426978971557
EEG2,MODEL_A,layer2-0,central,sub-02,0.051840223740304565,0.022310161170124555
EEG2,MODEL_A,layer2-0,central,sub-03,-0.008039651375230368,0.008064613769534646
EEG2,MODEL_A,layer2-0,central,sub-04,0.1005902018333562,0.03241707127621644
EEG2,MODEL_A,layer2-0,central,sub-05,0.0590412139740799,0.10558063277231056
EEG2,MODEL_A,layer2-0,central,sub-06,0.06908988988868597,0.08312815303209252
EEG2,MODEL_A,layer2-0,central,sub-07,0.07469842142995711,0.05860517042536324
EEG2,MODEL_A,layer2-0,central,sub-08,0.06038997744939953,0.055886430522798534
EEG2,MODEL_A,layer2-0,central,sub-09,0.031493552177787716,0.014157710390210467
EEG2,MODEL_A,layer2-0,central,sub-10,0.07798389588454882,0.06410807797866828
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-01,0.060489100790908544,0.0039039156710767003
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-02,0.10660829669235866,0.07097574181369368
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-03,0.09892803865146138,0.1580112982859449
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-04,0.09326405438520023,0.017264970417280676
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-05,0.17346188509577654,0.21322526762314276
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-06,0.1093495611894548,0.17675356592486227
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-07,0.11520678703136843,0.17453959984277972
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-08,0.12670218656391138,0.13866430044074662
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-09,0.11535952172209935,0.05730585896057879
EEG2,MODEL_A,layer2-0,occipital_parietal,sub-10,0.09270419065972185,0.1515088874910374
EEG2,MODEL_A,layer2-0,whole_brain,sub-01,0.08957833888091614,0.007510544384621763
EEG2,MODEL_A,layer2-0,whole_brain,sub-02,0.04580352415387334,0.03731360416474887
EEG2,MODEL_A,layer2-0,whole_brain,sub-03,0.03197006469434674,0.10955375994290664
EEG2,MODEL_A,layer2-0,whole_brain,sub-04,0.08969817739298672,0.019899714365461646
EEG2,MODEL_A,layer2-0,whole_brain,sub-05,0.07787048738371571,0.1631566478151363
EEG2,MODEL_A,layer2-0,whole_brain,sub-06,0.09472146353963158,0.15402318108869156
EEG2,MODEL_A,layer2-0,whole_brain,sub-07,0.09581962824130634,0.15516350810972868
EEG2,MODEL_A,layer2-0,whole_brain,sub-08,0.12334706538457375,0.11676882087654174
EEG2,MODEL_A,layer2-0,whole_brain,sub-09,0.06278377861396033,0.04261398433631642
EEG2,MODEL_A,layer2-0,whole_brain,sub-10,0.007432794088357064,0.11631808480603881
EEG2,MODEL_A,layer3-0,occipital,sub-01,0.18848942870192223,0.18173912213267346
EEG2,MODEL_A,layer3-0,occipital,sub-02,0.17679588247622266,0.13493351526393269
EEG2,MODEL_A,layer3-0,occipital,sub-03,0.20018185653040066,0.2628625873078731
EEG2,MODEL_A,layer3-0,occipital,sub-04,0.17751677594718165,0.13409510766788227
EEG2,MODEL_A,layer3-0,occipital,sub-05,0.23665203285351472,0.30572647223478594
EEG2,MODEL_A,layer3-0,occipital,sub-06,0.21423078260969658,0.2630407820093102
EEG2,MODEL_A,layer3-0,occipital,sub-07,0.20894093902886374,0.31584249986031715
EEG2,MODEL_A,layer3-0,occipital,sub-08,0.20110250457229706,0.22146358028457092
EEG2,MODEL_A,layer3-0,occipital,sub-09,0.2211989879431576,0.12374626238520511
EEG2,MODEL_A,layer3-0,occipital,sub-10,0.18668823710267404,0.2535706734350256
EEG2,MODEL_A,layer3-0,parietal,sub-01,0.06824536090848965,-0.0012534835311004604
EEG2,MODEL_A,layer3-0,parietal,sub-02,0.12181376695858954,0.07011466347719755
EEG2,MODEL_A,layer3-0,parietal,sub-03,0.13242710592777265,0.1277760230638489
EEG2,MODEL_A,layer3-0,parietal,sub-04,0.06437561132105245,0.01881890815095596
EEG2,MODEL_A,layer3-0,parietal,sub-05,0.18934408401086608,0.2067371488319839
EEG2,MODEL_A,layer3-0,parietal,sub-06,0.187858017489581,0.17403876258074333
EEG2,MODEL_A,layer3-0,parietal,sub-07,0.15426851484029874,0.1746851254822736
EEG2,MODEL_A,layer3-0,parietal,sub-08,0.16132269022320786,0.13459200953406752
EEG2,MODEL_A,layer3-0,parietal,sub-09,0.13863186171390957,0.06803101365658588
EEG2,MODEL_A,layer3-0,parietal,sub-10,0.14782199196706464,0.1589151163515314
