dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer1-0,PPA,subj08,0.04797831961050778,0.03497823076258624
NSD,MODEL_A,layer1-0,OPA,subj01,0.06916639358728004,0.050803898833189545
NSD,MODEL_A,layer1-0,OPA,subj02,0.04982661515502018,0.046021627050427755
NSD,MODEL_A,layer1-0,OPA,subj03,0.04201669430714098,0.026653826189487476
NSD,MODEL_A,layer1-0,OPA,subj04,0.0309797451261398,0.02825603211515636
NSD,MODEL_A,layer1-0,OPA,subj05,0.04766515291000003,0.04807851554491256
NSD,MODEL_A,layer1-0,OPA,subj06,0.03978409376799139,0.030798573199610525
NSD,MODEL_A,layer1-0,OPA,subj07,0.04694369672631739,0.03905775760690219
NSD,MODEL_A,layer1-0,OPA,subj08,0.040705862931401916,0.027894849833600667
NSD,MODEL_A,layer1-0,EBA,subj01,0.033980933662631295,0.04786929572863112
NSD,MODEL_A,layer1-0,EBA,subj02,0.03714264493815788,0.05256778844532868
NSD,MODEL_A,layer1-0,EBA,subj03,0.043152874763318985,0.04710322885597605
NSD,MODEL_A,layer1-0,EBA,subj04,0.025018477499343682,0.03613148877278217
NSD,MODEL_A,layer1-0,EBA,subj05,0.035847615359729884,0.05761833448925856
NSD,MODEL_A,layer1-0,EBA,subj06,0.026374555457998272,0.03234718147896191
NSD,MODEL_A,layer1-0,EBA,subj07,0.0315444285850648,0.051250337598654355
NSD,MODEL_A,layer1-0,EBA,subj08,0.028450760376590344,0.03636472845663735
NSD,MODEL_A,layer2-0,V1v,subj01,0.21216848694146712,0.33486097587077407
NSD,MODEL_A,layer2-0,V1v,subj02,0.18131673805208068,0.3320192718773287
NSD,MODEL_A,layer2-0,V1v,subj03,0.15433674027771982,0.2773336363954313
NSD,MODEL_A,layer2-0,V1v,subj04,0.18198489871052104,0.2840650858694861
NSD,MODEL_A,layer2-0,V1v,subj05,0.15473245297770072,0.3619951040957536
NSD,MODEL_A,layer2-0,V1v,subj06,0.17887000463079256,0.2979568747772247
