model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_A,layer3-30,TVSD,monkeyF,IT,0.70159048,0.07274575,0.46471229,0.0049968,0.63908228,0.68559846,,
MODEL_A,layer3-30,TVSD,monkeyF,V4,0.5789199,0.05899411,0.21026336,0.00218743,0.37326859,0.54914455,,
MODEL_A,layer3-30,TVSD,monkeyF,V1,0.58212542,0.05989124,0.30091769,0.00318056,0.30499427,0.54109672,,
MODEL_A,layer3-30,TVSD,monkeyN,IT,0.7292174,0.0746086,0.52432162,0.0054833,0.51308582,0.75375333,,
MODEL_A,layer3-30,TVSD,monkeyN,V4,0.68969841,0.07050163,0.45313128,0.00473734,0.52739859,0.65404095,,
MODEL_A,layer3-30,TVSD,monkeyN,V1,0.62320518,0.06317268,0.35017142,0.00359884,0.25517609,0.57878962,,
MODEL_A,layer4-1,TVSD,monkeyF,IT,0.65818137,0.06815092,0.43012547,0.00459216,0.6343437,0.67026749,,
MODEL_A,layer4-1,TVSD,monkeyF,V4,0.60746715,0.06187041,0.3666386,0.00378119,0.48841457,0.61299261,,
MODEL_A,layer4-1,TVSD,monkeyF,V1,0.48333416,0.04967913,0.22867242,0.0023949,0.20857849,0.45295846,,
MODEL_A,layer4-1,TVSD,monkeyN,IT,0.70691731,0.07229233,0.50149701,0.00522684,0.45713579,0.76483373,,
MODEL_A,layer4-1,TVSD,monkeyN,V4,0.62812993,0.0641866,0.40047,0.00417505,0.47552917,0.58562007,,
MODEL_A,layer4-1,TVSD,monkeyN,V1,0.58295641,0.05907982,0.32783966,0.00336643,0.24203154,0.58897449,,
MODEL_B,language_model-layers-3,TVSD,monkeyF,IT,0.00953272,0.0009886,-56.9542616,-0.64397198,0.09496465,0.10660717,,
MODEL_B,language_model-layers-3,TVSD,monkeyF,V4,-0.00031302,2.81e-06,-34.71390844,-0.38315601,0.02686091,0.03907432,,
MODEL_B,language_model-layers-3,TVSD,monkeyF,V1,0.00656127,0.00065318,-43.28321269,-0.48011337,0.03327764,0.04921531,,
MODEL_B,language_model-layers-3,TVSD,monkeyN,IT,0.01294291,0.00131798,-40.39663059,-0.44907435,0.04172335,0.04741194,,
MODEL_B,language_model-layers-3,TVSD,monkeyN,V4,0.00041901,3.806e-05,-42.44559108,-0.46024179,0.04310452,0.05687671,,
MODEL_B,language_model-layers-3,TVSD,monkeyN,V1,0.01032944,0.0010563,-27.41594058,-0.28854112,0.04161025,0.05492911,,
MODEL_B,language_model-layers-8,TVSD,monkeyF,IT,0.00711461,0.00076818,-51.66949624,-0.58564224,0.09848483,0.09942188,,
MODEL_B,language_model-layers-8,TVSD,monkeyF,V4,0.00240597,0.00026201,-31.08906608,-0.3426353,0.03792657,0.02278347,,
MODEL_B,language_model-layers-8,TVSD,monkeyF,V1,-0.00430951,-0.00045014,-37.42050504,-0.41436203,0.04564386,0.027386,,
MODEL_B,language_model-layers-8,TVSD,monkeyN,IT,0.00124066,0.00014196,-35.7443525,-0.39687905,0.03364326,0.0318479,,
MODEL_B,language_model-layers-8,TVSD,monkeyN,V4,-0.00103619,-0.00012973,-38.28707267,-0.41600916,0.0339278,0.05052372,,
MODEL_B,language_model-layers-8,TVSD,monkeyN,V1,0.0068003,0.00068846,-24.08359023,-0.25327888,0.04706903,0.05196508,,
MODEL_B,language_model-layers-11,TVSD,monkeyF,IT,-0.00657958,-0.00065316,-100.57016813,-1.13750073,0.12490843,0.1153902,,
MODEL_B,language_model-layers-11,TVSD,monkeyF,V4,-0.00717443,-0.00072344,-60.45097419,-0.66807245,0.04976569,0.03603869,,
MODEL_B,language_model-layers-11,TVSD,monkeyF,V1,0.00232517,0.00025316,-75.91600208,-0.84269237,0.02566427,0.01562199,,
MODEL_B,language_model-layers-11,TVSD,monkeyN,IT,0.01306879,0.00131328,-68.36726501,-0.75684689,0.01459239,0.01408381,,
MODEL_B,language_model-layers-11,TVSD,monkeyN,V4,0.01022934,0.00104349,-74.45774897,-0.80954272,0.04204889,0.05053901,,
MODEL_B,language_model-layers-11,TVSD,monkeyN,V1,0.00642975,0.00065865,-47.2205904,-0.49667445,0.04124483,0.04112898,,
